Voltage(mV),Ferri-Solo,Voltage(mV),Ferri-Solo,Voltage(mV),Ferri-Solo
82.302,2.16,-117.55,-1.56,-317.422,-0.786
83.296,2.159,-116.563,-1.553,-316.428,-0.787
84.3,2.158,-115.566,-1.549,-315.448,-0.786
85.299,2.158,-114.604,-1.542,-314.455,-0.784
86.311,2.155,-113.611,-1.535,-313.411,-0.785
87.296,2.155,-112.605,-1.529,-312.483,-0.783
88.302,2.153,-111.584,-1.526,-311.441,-0.784
89.301,2.153,-110.65,-1.514,-310.52,-0.781
90.311,2.149,-109.578,-1.511,-309.443,-0.782
91.289,2.149,-108.59,-1.506,-308.486,-0.781
92.281,2.147,-107.621,-1.497,-307.492,-0.781
93.271,2.148,-106.621,-1.489,-306.575,-0.78
94.297,2.145,-105.59,-1.484,-305.594,-0.778
95.283,2.143,-104.618,-1.474,-304.538,-0.778
96.292,2.143,-103.594,-1.471,-303.476,-0.779
97.291,2.142,-102.654,-1.46,-302.587,-0.775
98.291,2.139,-101.636,-1.455,-301.437,-0.776
99.3,2.138,-100.673,-1.442,-300.462,-0.776
100.299,2.136,-99.634,-1.437,-299.499,-0.775
101.299,2.135,-98.648,-1.425,-298.481,-0.773
102.305,2.134,-97.606,-1.418,-297.398,-0.774
103.307,2.132,-96.607,-1.408,-296.431,-0.772
104.292,2.13,-95.594,-1.404,-295.396,-0.774
105.288,2.13,-94.661,-1.385,-294.491,-0.771
106.283,2.127,-93.582,-1.38,-293.438,-0.772
107.283,2.126,-92.592,-1.371,-292.491,-0.77
108.288,2.125,-91.595,-1.361,-291.438,-0.77
109.281,2.124,-90.603,-1.349,-290.452,-0.768
110.301,2.121,-89.581,-1.342,-289.415,-0.769
111.281,2.119,-88.625,-1.328,-288.411,-0.767
112.273,2.118,-87.61,-1.319,-287.393,-0.769
113.285,2.118,-86.638,-1.302,-286.545,-0.764
114.289,2.116,-85.59,-1.295,-285.389,-0.766
115.29,2.114,-84.604,-1.281,-284.409,-0.766
116.291,2.112,-83.593,-1.272,-283.442,-0.764
117.271,2.111,-82.621,-1.255,-282.458,-0.763
118.269,2.11,-81.598,-1.245,-281.43,-0.764
119.26,2.109,-80.605,-1.229,-280.508,-0.762
120.269,2.108,-79.581,-1.224,-279.484,-0.762
