voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
389.217,20.602,189.235,-10.143,-10.728,-13.806
390.202,20.61,190.25,-10.094,-9.707,-13.801
391.233,20.597,191.238,-10.037,-8.726,-13.792
392.203,20.61,192.248,-9.971,-7.711,-13.788
393.252,20.59,193.295,-9.932,-6.736,-13.778
394.196,20.602,194.235,-9.869,-5.716,-13.772
395.223,20.595,195.23,-9.807,-4.718,-13.764
396.218,20.607,196.233,-9.744,-3.713,-13.757
397.28,20.603,197.233,-9.679,-2.722,-13.749
398.286,20.59,198.243,-9.613,-1.705,-13.744
399.238,20.585,199.246,-9.546,-0.728,-13.736
400.2,20.609,200.246,-9.473,0.281,-13.731
401.296,20.579,201.263,-9.41,1.24,-13.72
402.21,20.59,202.246,-9.33,2.262,-13.713
403.233,20.595,203.264,-9.256,3.266,-13.707
404.289,20.587,204.277,-9.175,4.266,-13.699
405.289,20.579,205.298,-9.1,5.263,-13.691
406.267,20.584,206.295,-9.031,6.284,-13.685
407.292,20.578,207.258,-8.949,7.273,-13.676
408.293,20.59,208.236,-8.85,8.282,-13.67
409.381,20.575,209.265,-8.775,9.274,-13.66
410.363,20.575,210.237,-8.681,10.294,-13.654
411.384,20.559,211.231,-8.581,11.287,-13.646
412.322,20.561,212.245,-8.485,12.293,-13.64
413.316,20.556,213.249,-8.393,13.281,-13.631
414.299,20.549,214.229,-8.29,14.27,-13.625
415.261,20.548,215.227,-8.187,15.267,-13.616
416.242,20.567,216.226,-8.07,16.281,-13.61
417.365,20.534,217.249,-7.967,17.253,-13.6
418.238,20.541,218.24,-7.853,18.29,-13.594
419.222,20.543,219.235,-7.746,19.283,-13.586
420.24,20.542,220.205,-7.617,20.27,-13.578
421.25,20.539,221.212,-7.49,21.274,-13.569
422.246,20.544,222.218,-7.377,22.298,-13.563
423.291,20.529,223.196,-7.243,23.279,-13.553
424.23,20.538,224.196,-7.086,24.298,-13.548
425.261,20.523,225.248,-6.98,25.27,-13.537
426.183,20.531,226.204,-6.839,26.287,-13.532
427.198,20.526,227.198,-6.683,27.26,-13.522
428.179,20.534,228.215,-6.535,28.273,-13.515
429.218,20.532,229.219,-6.381,29.266,-13.506
430.238,20.522,230.227,-6.216,30.288,-13.499
431.19,20.521,231.242,-6.075,31.28,-13.491
432.159,20.537,232.221,-5.904,32.285,-13.484
433.281,20.516,233.223,-5.757,33.266,-13.473
434.195,20.528,234.19,-5.572,34.294,-13.466
435.24,20.536,235.197,-5.405,35.291,-13.458
436.301,20.53,236.184,-5.209,36.288,-13.448
437.271,20.523,237.201,-5.021,37.288,-13.44
438.191,20.529,238.213,-4.852,38.303,-13.433
439.195,20.526,239.189,-4.67,39.289,-13.425
440.155,20.538,240.177,-4.446,40.278,-13.416
441.213,20.53,241.221,-4.483,41.26,-13.406
442.167,20.537,242.187,-4.293,42.279,-13.398
443.201,20.528,243.199,-4.162,43.28,-13.39
444.153,20.534,244.237,-3.963,44.274,-13.381
445.168,20.533,245.201,-3.733,45.274,-13.371
446.183,20.531,246.174,-3.49,46.291,-13.365
447.168,20.531,247.175,-3.256,47.279,-13.355
448.167,20.548,248.173,-2.992,48.282,-13.348
449.327,20.519,249.197,-2.771,49.262,-13.337
450.163,20.529,250.184,-2.513,50.288,-13.33
451.151,20.531,251.198,-2.285,51.28,-13.32
452.158,20.532,252.184,-2.022,52.276,-13.312
453.171,20.53,253.204,-1.756,53.274,-13.301
454.14,20.536,254.216,-1.507,54.301,-13.294
455.192,20.532,255.212,-1.231,55.279,-13.283
456.167,20.539,256.224,-0.897,56.293,-13.276
457.227,20.531,257.299,-0.736,57.277,-13.264
458.167,20.542,258.217,-0.462,58.294,-13.255
459.205,20.541,259.195,-0.177,59.296,-13.246
460.213,20.55,260.192,0.118,60.293,-13.238
461.288,20.546,261.201,0.396,61.287,-13.227
462.305,20.538,262.187,0.702,62.304,-13.218
463.236,20.537,263.201,0.975,63.304,-13.208
464.175,20.548,264.181,1.293,64.302,-13.2
465.269,20.531,265.198,1.557,65.291,-13.19
466.143,20.541,266.169,1.884,66.285,-13.18
467.156,20.543,267.177,2.182,67.279,-13.17
468.191,20.541,268.174,2.526,68.273,-13.159
469.191,20.536,269.199,2.823,69.277,-13.15
470.127,20.541,270.201,3.096,70.287,-13.14
471.145,20.538,271.167,3.391,71.279,-13.128
472.122,20.547,272.132,3.781,72.29,-13.119
473.208,20.541,273.19,4.024,73.281,-13.109
474.178,20.545,274.142,4.38,74.282,-13.1
475.185,20.543,275.154,4.73,75.291,-13.089
476.124,20.548,276.182,5.046,76.285,-13.078
477.13,20.549,277.183,5.334,77.285,-13.068
478.124,20.548,278.155,5.681,78.29,-13.057
479.097,20.549,279.17,5.997,79.275,-13.046
480.086,20.562,280.167,6.382,80.275,-13.035
481.251,20.543,281.215,6.671,81.27,-13.022
482.111,20.551,282.21,6.992,82.283,-13.013
483.113,20.554,283.207,7.264,83.274,-13.001
484.149,20.552,284.174,7.596,84.276,-12.991
485.172,20.551,285.173,7.916,85.279,-12.978
486.175,20.557,286.172,8.207,86.293,-12.968
487.244,20.55,287.148,8.268,87.279,-12.956
488.193,20.555,288.152,8.731,88.283,-12.945
489.219,20.546,289.232,8.951,89.281,-12.932
490.12,20.553,290.156,9.297,90.285,-12.922
491.139,20.552,291.151,9.645,91.269,-12.908
492.104,20.558,292.168,9.97,92.27,-12.897
493.155,20.556,293.183,10.266,93.268,-12.883
494.174,20.552,294.185,10.596,94.275,-12.873
495.123,20.553,295.209,10.836,95.268,-12.861
496.085,20.568,296.178,11.178,96.271,-12.848
497.224,20.554,297.198,11.394,97.272,-12.836
