Voltaje(V),50 Hz 100mV,50 Hz 150 mv,100 Hz 100 mV,100 Hz 150 mV,100 Hz 200 mV
1.56150E-01,2.99761E-04,4.63482E-04,3.48594E-04,5.46327E-04,3.21796E-04
1.58150E-01,3.00375E-04,4.63654E-04,3.49001E-04,5.44978E-04,3.21189E-04
1.60149E-01,3.00711E-04,4.63989E-04,3.48198E-04,5.45327E-04,3.21012E-04
1.62149E-01,3.01245E-04,4.64323E-04,3.48624E-04,5.44051E-04,3.20990E-04
1.64134E-01,3.02095E-04,4.64539E-04,3.47870E-04,5.44402E-04,3.20583E-04
1.66138E-01,3.02888E-04,4.64719E-04,3.48368E-04,5.43006E-04,3.20055E-04
1.68140E-01,3.03351E-04,4.64971E-04,3.47639E-04,5.43070E-04,3.19910E-04
1.70140E-01,3.03819E-04,4.65307E-04,3.48117E-04,5.41368E-04,3.19981E-04
1.72144E-01,3.04602E-04,4.65598E-04,3.47343E-04,5.41262E-04,3.19771E-04
1.74140E-01,3.05422E-04,4.65826E-04,3.47799E-04,5.39524E-04,3.19372E-04
1.76140E-01,3.05999E-04,4.66116E-04,3.46964E-04,5.39514E-04,3.19402E-04
1.78147E-01,3.06431E-04,4.66434E-04,3.47449E-04,5.37991E-04,3.19681E-04
1.80129E-01,3.07101E-04,4.66796E-04,3.46688E-04,5.38214E-04,3.19558E-04
1.82153E-01,3.07924E-04,4.66952E-04,3.47183E-04,5.36761E-04,3.19248E-04
1.84159E-01,3.08608E-04,4.67129E-04,3.46490E-04,5.36897E-04,3.19322E-04
1.86159E-01,3.09067E-04,4.67297E-04,3.47059E-04,5.35308E-04,3.19591E-04
1.88157E-01,3.09580E-04,4.67482E-04,3.46355E-04,5.35270E-04,3.19446E-04
1.90147E-01,3.10287E-04,4.67576E-04,3.46879E-04,5.33579E-04,3.19038E-04
1.92164E-01,3.11018E-04,4.67605E-04,3.46129E-04,5.33645E-04,3.19053E-04
1.94164E-01,3.11512E-04,4.67554E-04,3.46629E-04,5.32196E-04,3.19217E-04
1.96166E-01,3.11888E-04,4.67606E-04,3.45892E-04,5.32545E-04,3.18990E-04
1.98176E-01,3.12460E-04,4.67674E-04,3.46475E-04,5.31362E-04,3.18555E-04
2.00164E-01,3.13147E-04,4.67590E-04,3.45794E-04,5.31812E-04,3.18506E-04
2.02164E-01,3.13653E-04,4.67446E-04,3.46405E-04,5.30621E-04,3.18697E-04
2.04175E-01,3.13906E-04,4.67436E-04,3.45774E-04,5.30976E-04,3.18555E-04
2.06161E-01,3.14241E-04,4.67518E-04,3.46378E-04,5.29664E-04,3.18219E-04
2.08180E-01,3.14814E-04,4.67469E-04,3.45664E-04,5.30005E-04,3.18325E-04
2.10194E-01,3.15324E-04,4.67312E-04,3.46251E-04,5.28843E-04,3.18644E-04
2.12194E-01,3.15499E-04,4.67263E-04,3.45538E-04,5.29428E-04,3.18633E-04
2.14198E-01,3.15641E-04,4.67358E-04,3.46110E-04,5.28598E-04,3.18395E-04
2.16204E-01,3.16010E-04,4.67387E-04,3.45435E-04,5.29459E-04,3.18567E-04
2.18202E-01,3.16402E-04,4.67227E-04,3.46092E-04,5.28737E-04,3.18925E-04
2.20215E-01,3.16542E-04,4.67108E-04,3.45481E-04,5.29490E-04,3.18869E-04
2.22211E-01,3.16518E-04,4.67210E-04,3.46136E-04,5.28550E-04,3.18622E-04
2.24221E-01,3.16649E-04,4.67321E-04,3.45445E-04,5.29140E-04,3.18724E-04
2.26220E-01,3.16909E-04,4.67149E-04,3.46062E-04,5.28138E-04,3.18968E-04
2.28227E-01,3.16990E-04,4.66967E-04,3.45337E-04,5.28779E-04,3.18824E-04
2.30232E-01,3.16835E-04,4.67038E-04,3.45971E-04,5.27967E-04,3.18432E-04
2.32240E-01,3.16704E-04,4.67140E-04,3.45255E-04,5.28880E-04,3.18429E-04
2.34249E-01,3.16798E-04,4.67022E-04,3.45926E-04,5.28223E-04,3.18644E-04
2.36253E-01,3.16836E-04,4.66799E-04,3.45298E-04,5.29147E-04,3.18484E-04
2.38241E-01,3.16577E-04,4.66802E-04,3.45996E-04,5.28342E-04,3.18124E-04
2.40252E-01,3.16285E-04,4.66935E-04,3.45341E-04,5.29021E-04,3.18196E-04
2.42261E-01,3.16214E-04,4.66864E-04,3.46020E-04,5.28003E-04,3.18494E-04
2.44261E-01,3.16150E-04,4.66654E-04,3.45302E-04,5.28617E-04,3.18438E-04
2.46271E-01,3.15857E-04,4.66598E-04,3.45928E-04,5.27720E-04,3.18195E-04
2.48273E-01,3.15474E-04,4.66707E-04,3.45191E-04,5.28573E-04,3.18376E-04
2.50269E-01,3.15207E-04,4.66712E-04,3.45895E-04,5.27898E-04,3.18767E-04
2.52259E-01,3.15040E-04,4.66514E-04,3.45247E-04,5.28884E-04,3.18747E-04
2.54266E-01,3.14727E-04,4.66409E-04,3.46002E-04,5.28189E-04,3.18521E-04
2.56272E-01,3.14303E-04,4.66512E-04,3.45359E-04,5.28990E-04,3.18676E-04
2.58269E-01,3.13915E-04,4.66560E-04,3.46047E-04,5.28028E-04,3.18962E-04
2.60285E-01,3.13647E-04,4.66367E-04,3.45355E-04,5.28573E-04,3.18885E-04
2.62288E-01,3.13338E-04,4.66288E-04,3.46005E-04,5.27628E-04,3.18548E-04
2.64271E-01,3.12890E-04,4.66335E-04,3.45290E-04,5.28400E-04,3.18583E-04
2.66274E-01,3.12469E-04,4.66365E-04,3.45984E-04,5.27706E-04,3.18795E-04
2.68297E-01,3.12161E-04,4.66320E-04,3.45349E-04,5.28692E-04,3.18651E-04
2.70284E-01,3.11829E-04,4.66256E-04,3.46116E-04,5.28061E-04,3.18242E-04
2.72294E-01,3.11379E-04,4.66241E-04,3.45481E-04,5.28944E-04,3.18283E-04
2.74287E-01,3.10963E-04,4.66308E-04,3.46270E-04,5.28094E-04,3.18557E-04
2.76284E-01,3.10635E-04,4.66370E-04,3.45583E-04,5.28779E-04,3.18451E-04
2.78281E-01,3.10326E-04,4.66343E-04,3.46294E-04,5.27813E-04,3.18151E-04
2.80285E-01,3.09912E-04,4.66267E-04,3.45560E-04,5.28547E-04,3.18309E-04
2.82286E-01,3.09494E-04,4.66307E-04,3.46294E-04,5.27805E-04,3.18679E-04
2.84284E-01,3.09160E-04,4.66450E-04,3.45625E-04,5.28773E-04,3.18653E-04
2.86285E-01,3.08824E-04,4.66506E-04,3.46388E-04,5.28166E-04,3.18395E-04
2.88289E-01,3.08513E-04,4.66453E-04,3.45784E-04,5.29120E-04,3.18556E-04
2.90282E-01,3.08105E-04,4.66445E-04,3.46612E-04,5.28342E-04,3.18917E-04
2.92288E-01,3.07742E-04,4.66630E-04,3.45939E-04,5.29159E-04,3.18881E-04
2.94305E-01,3.07504E-04,4.66802E-04,3.46694E-04,5.28253E-04,3.18578E-04
2.96284E-01,3.07255E-04,4.66752E-04,3.45976E-04,5.29023E-04,3.18661E-04
2.98285E-01,3.06907E-04,4.66723E-04,3.46711E-04,5.28231E-04,3.18912E-04
3.00278E-01,3.06582E-04,4.66906E-04,3.46040E-04,5.29143E-04,3.18776E-04
3.02262E-01,3.06388E-04,4.67172E-04,3.46885E-04,5.28524E-04,3.18424E-04
3.04273E-01,3.06167E-04,4.67210E-04,3.46244E-04,5.29521E-04,3.18443E-04
3.06277E-01,3.05878E-04,4.67155E-04,3.47089E-04,5.28825E-04,3.18671E-04
3.08286E-01,3.05625E-04,4.67287E-04,3.46451E-04,5.29737E-04,3.18573E-04
3.10287E-01,3.05445E-04,4.67620E-04,3.47222E-04,5.28910E-04,3.18236E-04
3.12276E-01,3.05291E-04,4.67789E-04,3.46524E-04,5.29727E-04,3.18361E-04
3.14268E-01,3.05083E-04,4.67731E-04,3.47296E-04,5.28957E-04,3.18691E-04
3.16272E-01,3.04853E-04,4.67819E-04,3.46590E-04,5.29848E-04,3.18648E-04
3.18272E-01,3.04720E-04,4.68129E-04,3.47444E-04,5.29155E-04,3.18414E-04
3.20284E-01,3.04611E-04,4.68449E-04,3.46808E-04,5.30126E-04,3.18577E-04
3.22278E-01,3.04450E-04,4.68499E-04,3.47683E-04,5.29433E-04,3.18967E-04
3.24275E-01,3.04330E-04,4.68497E-04,3.46995E-04,5.30406E-04,3.18961E-04
3.26279E-01,3.04206E-04,4.68751E-04,3.47835E-04,5.29672E-04,3.18717E-04
3.28266E-01,3.04123E-04,4.69174E-04,3.47114E-04,5.30619E-04,3.18840E-04
3.30269E-01,3.04030E-04,4.69341E-04,3.47921E-04,5.29844E-04,3.19178E-04
3.32277E-01,3.03991E-04,4.69359E-04,3.47232E-04,5.30767E-04,3.19072E-04
3.34280E-01,3.03926E-04,4.69537E-04,3.48097E-04,5.30012E-04,3.18771E-04
3.36288E-01,3.03813E-04,4.69958E-04,3.47446E-04,5.30915E-04,3.18812E-04
3.38283E-01,3.03780E-04,4.70272E-04,3.48330E-04,5.30199E-04,3.19092E-04
3.40279E-01,3.03850E-04,4.70356E-04,3.47684E-04,5.31200E-04,3.18978E-04
3.42287E-01,3.03860E-04,4.70478E-04,3.48485E-04,5.30530E-04,3.18648E-04
3.44284E-01,3.03729E-04,4.70851E-04,3.47765E-04,5.31524E-04,3.18736E-04
3.46287E-01,3.03669E-04,4.71260E-04,3.48624E-04,5.30841E-04,3.19030E-04
3.48288E-01,3.03795E-04,4.71463E-04,3.47907E-04,5.31782E-04,3.18984E-04
3.50289E-01,3.03898E-04,4.71537E-04,3.48829E-04,5.30994E-04,3.18744E-04
3.52292E-01,3.03818E-04,4.71871E-04,3.48169E-04,5.31889E-04,3.18888E-04
3.54287E-01,3.03744E-04,4.72359E-04,3.49084E-04,5.31115E-04,3.19278E-04
3.56273E-01,3.03889E-04,4.72634E-04,3.48380E-04,5.32070E-04,3.19275E-04
3.58275E-01,3.04067E-04,4.72742E-04,3.49249E-04,5.31441E-04,3.19052E-04
3.60281E-01,3.04054E-04,4.72977E-04,3.48546E-04,5.32507E-04,3.19216E-04
3.62299E-01,3.03974E-04,4.73445E-04,3.49424E-04,5.31885E-04,3.19602E-04
3.64278E-01,3.04066E-04,4.73915E-04,3.48716E-04,5.32914E-04,3.19558E-04
3.66272E-01,3.04298E-04,4.74105E-04,3.49612E-04,5.32183E-04,3.19323E-04
3.68277E-01,3.04409E-04,4.74213E-04,3.48938E-04,5.33036E-04,3.19410E-04
3.70296E-01,3.04353E-04,4.74632E-04,3.49890E-04,5.32247E-04,3.19728E-04
3.72286E-01,3.04368E-04,4.75220E-04,3.49208E-04,5.33178E-04,3.19636E-04
3.74284E-01,3.04608E-04,4.75512E-04,3.50100E-04,5.32465E-04,3.19333E-04
3.76274E-01,3.04780E-04,4.75590E-04,3.49379E-04,5.33579E-04,3.19427E-04
3.78268E-01,3.04779E-04,4.75879E-04,3.50290E-04,5.33036E-04,3.19710E-04
3.80272E-01,3.04761E-04,4.76519E-04,3.49581E-04,5.34132E-04,3.19640E-04
