voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
15.324,3.051,-184.555,-8.042,-384.428,-8.632
16.334,3.113,-183.527,-8.037,-383.43,-8.638
17.305,3.231,-182.568,-8.016,-382.642,-8.617
18.346,3.288,-181.517,-8.01,-381.442,-8.622
19.328,3.366,-180.541,-7.997,-380.434,-8.619
20.323,3.448,-179.541,-7.989,-379.437,-8.615
21.324,3.541,-178.584,-7.973,-378.43,-8.61
22.346,3.6,-177.598,-7.955,-377.365,-8.612
23.331,3.688,-176.569,-7.939,-376.43,-8.605
24.342,3.75,-175.532,-7.94,-375.374,-8.607
25.324,3.837,-174.614,-7.908,-374.449,-8.596
26.336,3.895,-173.509,-7.903,-373.346,-8.599
27.315,3.982,-172.523,-7.892,-372.375,-8.594
28.323,4.048,-171.556,-7.875,-371.37,-8.597
29.315,4.136,-170.551,-7.855,-370.455,-8.591
30.339,4.195,-169.5,-7.849,-369.474,-8.584
31.334,4.271,-168.536,-7.827,-368.423,-8.58
32.336,4.324,-167.504,-7.822,-367.363,-8.586
33.316,4.422,-166.573,-7.796,-366.513,-8.572
34.351,4.47,-165.536,-7.79,-365.354,-8.577
35.334,4.537,-164.585,-7.764,-364.392,-8.575
36.335,4.603,-163.546,-7.753,-363.456,-8.569
37.331,4.678,-162.565,-7.729,-362.447,-8.563
38.35,4.725,-161.531,-7.716,-361.383,-8.565
39.328,4.789,-160.539,-7.697,-360.441,-8.559
40.321,4.85,-159.534,-7.696,-359.407,-8.563
41.309,4.921,-158.632,-7.652,-358.532,-8.554
42.326,4.974,-157.528,-7.645,-357.49,-8.555
43.317,5.035,-156.546,-7.629,-356.548,-8.546
44.321,5.088,-155.57,-7.61,-355.48,-8.546
45.316,5.157,-154.585,-7.586,-354.48,-8.541
46.331,5.203,-153.566,-7.578,-353.421,-8.539
47.323,5.262,-152.626,-7.547,-352.405,-8.536
48.324,5.305,-151.606,-7.535,-351.378,-8.542
49.305,5.375,-150.632,-7.498,-350.543,-8.524
