tiempo (min),3er armonico
1150.030003,-23.94994687
1151.176695,-24.31922461
1152.322877,-24.42844252
1153.47212,-23.8815645
1154.620624,-24.00728878
1155.768623,-23.99216784
1156.915704,-24.21725966
1158.066457,-24.1095197
1159.218821,-24.31225387
1160.373818,-24.52169182
1161.519261,-23.73657851
1162.67782,-24.42846601
1163.826764,-23.91141679
1164.971363,-24.653289
1166.127948,-23.93430113
1167.272919,-24.20331836
1168.425653,-23.72855482
1169.576672,-24.69220469
1170.727431,-24.44204523
1171.883275,-23.72010161
1173.045089,-24.1864891
1174.191838,-23.32166748
1175.342677,-23.5634936
1176.495786,-24.00190067
1177.644113,-23.28752428
1178.799238,-24.0712716
1179.947717,-23.6569415
1181.108495,-24.25419738
1182.258501,-23.84979875
1183.423318,-24.15778596
1184.571444,-23.96312672
1185.725879,-23.99029693
1186.874467,-23.63026447
1188.030651,-23.89410429
1189.177383,-23.5299046
1190.321305,-23.67150638
1191.480696,-23.87078911
1192.636319,-23.70064928
1193.791039,-24.07376943
1194.938661,-23.63574183
1196.094141,-23.79315034
1197.240237,-23.59416499
1198.38433,-24.34799509
1199.54223,-23.77718142
1200.69277,-23.97256274
1201.844315,-24.15957493
1202.999541,-24.35134207
1204.154941,-24.08997639
1205.299859,-23.75386292
1206.442542,-23.64291645
1207.596067,-23.21862648
1208.742806,-24.42911481
1209.895018,-23.68638262
1211.044799,-23.48603074
1212.196555,-24.1691408
1213.349612,-24.16795144
1214.506836,-23.87333476
1215.656761,-23.70278071
1216.814935,-23.35474911
1217.967831,-23.64859368
1219.113464,-24.14107639
1220.259744,-23.96619995
1221.420834,-24.14695205
1222.569155,-23.72377939
1223.724234,-24.2570724
1224.870811,-23.3746873
1226.016593,-23.96797005
1227.167219,-23.87079949
1228.313878,-24.23740757
1229.474282,-24.07815434
1230.619283,-23.86008651
1231.768985,-23.81790014
1232.917284,-24.10495399
1234.059311,-24.27615002
1235.219159,-24.42923027
1236.382514,-23.95355523
1237.535562,-23.83875943
1238.695263,-24.15158865
1239.846886,-23.77033014
1241.004189,-23.8956239
1242.152747,-23.42770576
1243.299229,-23.75081558
1244.446918,-24.23578857
1245.595145,-24.27267308
1246.752481,-24.07283119
1247.903732,-24.16088143
1249.056624,-24.60137684
1250.208393,-23.76865931
1251.363268,-23.85626965
1252.513391,-24.17174555
1253.67069,-23.68067054
1254.815703,-23.73849806
1255.962833,-24.05343918
1257.117859,-24.51290904
1258.263274,-24.03628392
1259.407778,-23.56306899
1260.565189,-23.71099328
1261.714741,-24.1158873
1262.87103,-24.09767536
1264.016967,-23.95955826
1265.16484,-24.24652781
1266.318492,-24.19524364
1267.467902,-23.4005483
1268.62606,-24.02408717
1269.772124,-24.17392793
1270.929883,-23.71127556
1272.083876,-23.52693463
1273.239928,-24.00486479
1274.387323,-24.03330371
1275.541867,-24.15504245
1276.696007,-24.67605894
1277.858015,-23.04330898
1279.006659,-23.92404746
1280.16122,-23.94133691
1281.307961,-24.04806154
1282.455698,-23.6567398
1283.609236,-24.50402813
1284.758108,-23.78850068
1285.923676,-24.14143495
1287.076342,-23.78434263
1288.230674,-23.8413387
1289.376633,-24.88207801
1290.533365,-24.03513469
1291.682712,-24.23368214
1292.827768,-24.09082824
1293.987243,-23.99998796
1295.133898,-24.17964999
1296.286813,-23.40256919
1297.435029,-23.68977817
1298.588498,-24.39845308
1299.737587,-23.86751711
1300.885968,-24.03702384
1302.039367,-23.77161816
1303.189716,-23.56308383
1304.339631,-24.16847291
1305.487752,-23.97511562
1306.636253,-23.76944328
1307.784692,-24.02994249
1308.931433,-23.47831848
1310.089939,-23.78437048
1311.234946,-23.7441412
1312.389883,-23.72100282
1313.538331,-24.40640836
1314.68152,-23.22106676
1315.83301,-23.93866458
1316.973672,-23.8853751
1318.118857,-23.59414419
1319.272007,-24.22162016
1320.418791,-23.9021918
1321.574699,-23.79820817
1322.725859,-23.98901294
1323.872583,-23.63688434
1325.019582,-24.2008287
1326.169709,-23.12187278
1327.324204,-23.97548423
1328.469396,-24.0177721
1329.620837,-23.63806068
1330.768878,-23.7207127
1331.914387,-23.94127592
1333.063621,-23.60076338
1334.214495,-24.07710526
1335.358091,-23.93901657
1336.501936,-24.35531925
1337.657972,-23.97702618
1338.803313,-24.10409989
1339.946284,-23.33242929
1341.104345,-23.64632734
1342.245466,-23.84150124
1343.399323,-23.332507
1344.545698,-24.02148358
1345.688167,-24.37561332
1346.850409,-23.40689552
1347.995667,-23.69279268
1349.145267,-23.92694813
1350.290589,-24.21294807
1351.438051,-23.60362189
1352.594357,-23.95694338
1353.745188,-23.74873341
1354.889362,-24.01209274
1356.04233,-23.31210588
1357.190955,-23.43343372
1358.350762,-23.61784211
1359.501707,-24.00830205
1360.661461,-23.51543266
1361.80912,-23.95159131
1362.968149,-23.44283128
1364.118458,-23.91248686
1365.274294,-23.30167286
1366.424119,-24.06848622
1367.579656,-24.27968587
1368.730051,-23.50297456
1369.885268,-24.06432376
1371.038838,-23.81121645
1372.182255,-23.78538431
1373.328302,-23.43071685
1374.473994,-23.44846682
1375.621966,-24.08527038
1376.773038,-24.0103511
1377.915006,-24.10164145
1379.061632,-23.17982971
1380.219001,-23.67874033
1381.37391,-24.00440251
1382.518326,-23.82653796
1383.661319,-23.90369092
1384.806134,-24.0125294
1385.964262,-23.70234247
1387.118262,-23.39197891
1388.279142,-23.96738613
1389.425208,-23.6605969
1390.579021,-23.39182897
1391.733547,-24.10132144
1392.894645,-24.09081524
1394.042929,-23.70646509
1395.198916,-23.68098908
1396.351466,-23.73097339
1397.508807,-24.00083358
1398.655835,-23.45224231
1399.808241,-24.27597667
1400.958495,-23.7475362
1402.108438,-23.58226506
1403.254871,-24.01926625
1404.402154,-23.44989028
1405.565907,-23.45437029
1406.709339,-24.20345667
1407.862861,-23.89364852
1409.013717,-24.50345838
1410.156043,-23.8561637
1411.3095,-23.89099977
1412.45829,-23.34127415
1413.61623,-23.66567496
1414.759873,-23.31686297
1415.910134,-23.74023465
1417.067557,-24.00058907
1418.219442,-23.67746066
1419.371762,-23.41815088
1420.517568,-24.25375507
1421.668509,-23.76618892
1422.822109,-23.76279057
1423.976923,-23.78414271
1425.124326,-23.79612832
1426.271722,-23.44798823
1427.431179,-23.48116826
1428.57702,-24.07356954
1429.7269,-24.11831362
1430.872834,-23.88869844
1432.016638,-23.91512485
1433.169341,-23.45554972
1434.316108,-23.78721027
1435.460647,-24.21619417
1436.615833,-23.24766947
1437.76337,-23.58809956
1438.919585,-23.29434432
1440.069238,-23.93708604
1441.217453,-23.5749207
1442.36672,-23.90236005
1443.515397,-23.26376981
1444.66603,-24.37810901
1445.813405,-23.85373999
1446.965662,-24.27342588
1448.120222,-23.76741885
1449.262817,-23.83221569
1450.414345,-24.18796063
1451.56747,-24.1690985
1452.718413,-23.76470675
1453.864982,-23.93744359
1455.021225,-23.63375188
