voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
258.193,4.307,58.284,-9.134,-141.511,-20.86
259.177,4.308,59.278,-9.128,-140.534,-20.852
260.174,4.306,60.283,-9.121,-139.565,-20.845
261.175,4.301,61.28,-9.112,-138.589,-20.827
262.162,4.301,62.3,-9.106,-137.526,-20.825
263.171,4.296,63.292,-9.099,-136.554,-20.815
264.163,4.295,64.291,-9.092,-135.522,-20.813
265.174,4.279,65.283,-9.085,-134.573,-20.803
266.14,4.285,66.274,-9.078,-133.536,-20.799
267.16,4.277,67.265,-9.071,-132.548,-20.785
268.147,4.279,68.268,-9.064,-131.541,-20.783
269.178,4.271,69.263,-9.056,-130.56,-20.768
270.172,4.261,70.277,-9.05,-129.538,-20.766
271.135,4.258,71.268,-9.042,-128.555,-20.756
272.117,4.268,72.279,-9.036,-127.56,-20.759
273.169,4.252,73.274,-9.029,-126.654,-20.732
274.115,4.256,74.279,-9.022,-125.574,-20.734
275.121,4.251,75.281,-9.015,-124.568,-20.728
276.154,4.244,76.271,-9.008,-123.578,-20.721
277.154,4.236,77.271,-9,-122.575,-20.714
278.131,4.233,78.274,-8.994,-121.544,-20.711
279.135,4.228,79.26,-8.986,-120.583,-20.698
280.14,4.229,80.266,-8.979,-119.55,-20.699
281.186,4.221,81.256,-8.97,-118.59,-20.683
282.18,4.217,82.269,-8.963,-117.542,-20.685
283.182,4.21,83.266,-8.957,-116.56,-20.674
284.146,4.204,84.262,-8.947,-115.565,-20.67
285.141,4.205,85.27,-8.939,-114.597,-20.66
286.147,4.194,86.277,-8.933,-113.609,-20.649
287.117,4.193,87.263,-8.923,-112.599,-20.645
288.115,4.198,88.273,-8.916,-111.575,-20.642
289.193,4.183,89.27,-8.907,-110.638,-20.626
290.121,4.177,90.279,-8.9,-109.573,-20.628
291.119,4.18,91.259,-8.891,-108.585,-20.619
292.14,4.176,92.249,-8.882,-107.61,-20.61
293.15,4.172,93.249,-8.872,-106.612,-20.601
294.143,4.17,94.265,-8.863,-105.578,-20.603
295.181,4.158,95.258,-8.857,-104.608,-20.588
296.146,4.156,96.25,-8.846,-103.593,-20.592
297.16,4.149,97.258,-8.836,-102.65,-20.576
298.113,4.152,98.266,-8.828,-101.625,-20.575
299.136,4.144,99.262,-8.818,-100.666,-20.558
300.123,4.145,100.256,-8.808,-99.629,-20.558
301.154,4.142,101.268,-8.798,-98.635,-20.549
302.182,4.129,102.275,-8.789,-97.602,-20.547
303.155,4.13,103.272,-8.781,-96.599,-20.54
304.142,4.132,104.254,-8.771,-95.592,-20.54
305.22,4.114,105.25,-8.76,-94.652,-20.523
306.172,4.115,106.252,-8.75,-93.574,-20.527
307.197,4.115,107.251,-8.739,-92.574,-20.522
308.242,4.107,108.249,-8.729,-91.587,-20.517
309.216,4.1,109.246,-8.716,-90.588,-20.508
310.174,4.1,110.268,-8.707,-89.569,-20.509
311.166,4.096,111.258,-8.695,-88.614,-20.498
312.144,4.096,112.255,-8.684,-87.609,-20.496
313.177,4.091,113.256,-8.671,-86.629,-20.485
314.149,4.09,114.256,-8.659,-85.586,-20.482
315.16,4.084,115.257,-8.648,-84.595,-20.476
316.127,4.084,116.266,-8.638,-83.589,-20.47
317.14,4.081,117.241,-8.624,-82.613,-20.461
318.147,4.076,118.241,-8.611,-81.59,-20.458
319.127,4.074,119.225,-8.597,-80.591,-20.455
320.136,4.076,120.232,-8.584,-79.579,-20.454
321.229,4.061,121.23,-8.571,-78.641,-20.439
322.111,4.065,122.235,-8.556,-77.592,-20.442
323.103,4.062,123.241,-8.544,-76.606,-20.438
324.104,4.059,124.238,-8.53,-75.633,-20.429
325.115,4.055,125.238,-8.513,-74.652,-20.417
326.105,4.054,126.252,-8.499,-73.605,-20.416
327.12,4.049,127.245,-8.483,-72.618,-20.41
328.109,4.048,128.246,-8.466,-71.599,-20.409
329.139,4.041,129.264,-8.453,-70.63,-20.399
330.097,4.043,130.24,-8.436,-69.599,-20.398
331.121,4.041,131.231,-8.419,-68.605,-20.39
332.126,4.04,132.222,-8.401,-67.598,-20.389
333.169,4.036,133.224,-8.383,-66.609,-20.379
334.179,4.03,134.227,-8.365,-65.584,-20.378
335.129,4.029,135.23,-8.347,-64.602,-20.386
336.092,4.031,136.233,-8.328,-63.589,-20.383
337.157,4.022,137.229,-8.309,-62.661,-20.366
338.082,4.023,138.227,-8.287,-61.617,-20.365
339.087,4.021,139.236,-8.267,-60.624,-20.358
340.119,4.018,140.228,-8.244,-59.631,-20.356
341.116,4.014,141.24,-8.225,-58.623,-20.344
342.092,4.013,142.228,-8.204,-57.609,-20.342
343.093,4.011,143.209,-8.178,-56.634,-20.336
344.08,4.012,144.207,-8.153,-55.618,-20.334
345.146,4.007,145.222,-8.13,-54.644,-20.326
346.128,4.004,146.212,-8.106,-53.614,-20.322
347.131,4.001,147.21,-8.079,-52.627,-20.313
348.081,4.002,148.223,-8.056,-51.627,-20.311
349.099,3.999,149.228,-8.029,-50.649,-20.304
350.101,3.997,150.23,-8.004,-49.654,-20.296
351.08,3.995,151.22,-7.972,-48.651,-20.289
352.081,3.998,152.232,-7.939,-47.626,-20.293
353.193,3.989,153.243,-7.913,-46.665,-20.274
354.099,3.991,154.246,-7.879,-45.61,-20.28
355.106,3.989,155.248,-7.849,-44.628,-20.272
356.129,3.987,156.231,-7.816,-43.644,-20.265
357.158,3.985,157.227,-7.781,-42.635,-20.256
358.16,3.985,158.234,-7.749,-41.605,-20.256
359.205,3.981,159.217,-7.711,-40.623,-20.252
360.165,3.98,160.213,-7.669,-39.609,-20.25
361.185,3.976,161.231,-7.636,-38.636,-20.24
362.119,3.976,162.214,-7.599,-37.618,-20.246
363.123,3.972,163.21,-7.554,-36.658,-20.236
364.101,3.974,164.217,-7.509,-35.642,-20.233
365.132,3.973,165.225,-7.466,-34.649,-20.228
366.149,3.969,166.229,-7.422,-33.621,-20.225
367.104,3.969,167.235,-7.383,-32.633,-20.219
368.078,3.972,168.206,-7.335,-31.625,-20.222
369.169,3.964,169.205,-7.294,-30.676,-20.209
